Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,28265,-,-,India,26.55,75.55,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag,,,,,,,,,,,,,,
2014,1,2,0,30,0,0,0,0,0,0,-1,8.299171583,978.8828125,50.6922678727,176.3919803029,0.5181524216,0,35.9166412354,1.5522451401,0,,,,,,,,,,,,,,
2014,1,2,1,30,0,0,0,0,0,0,-1,7.7879572054,978.5227050781,53.2750871536,166.2531482051,0.5025479399,0,29.949798584,1.4629642963,0,,,,,,,,,,,,,,
2014,1,2,2,30,0,0,0,0,0,0,-1,7.3222376532,977.9891967773,52.5234695802,152.9245526294,0.4889024,0,17.8863296509,1.2747522593,0,,,,,,,,,,,,,,
2014,1,2,3,30,0,0,0,0,0,0,-1,6.8954737468,977.3229370117,56.2840503919,139.5245916841,0.4753339423,0,0.7844467163,1.1826891899,0,,,,,,,,,,,,,,
2014,1,2,4,30,0,0,0,0,0,0,-2,6.5087618805,977.3588867188,52.806821571,126.229123401,0.4647345834,0,346.4165649414,1.2246572971,0,,,,,,,,,,,,,,
2014,1,2,5,30,0,0,0,0,0,0,-2,6.1718287467,977.6463012695,54.3266468205,113.138358301,0.4565120061,0,335.9508056641,1.3566921949,0,,,,,,,,,,,,,,
2014,1,2,6,30,0,0,0,0,0,0,-3,5.9035195698,978.3267822266,49.9079718062,100.3686977654,0.4487859569,0,327.8294372559,1.5335623026,0,,,,,,,,,,,,,,
2014,1,2,7,30,5,0,5,10,25,11,-2,7.8806003255,979.3832397461,46.1671820918,88.0834092937,0.441557922,0,322.871887207,1.7263954878,0,,,,,,,,,,,,,,
2014,1,2,8,30,110,229,164,107,312,179,0,11.4806286689,980.2420654297,42.13027581,76.5463276701,0.4352216028,0,326.1471252441,1.6216886044,0,,,,,,,,,,,,,,
2014,1,2,9,30,177,440,355,170,501,373,-1,14.6978460445,980.8286743164,33.8326035133,66.1581812723,0.433939948,0,331.6490783691,1.256665349,0,,,,,,,,,,,,,,
